Marke;Kostenstelle;erpId;orderId;Bestellnummer;Bestelldatum;Versuche;Erster Fehler (UTC);Letzter Fehler (UTC);Angefragter Pfad
Enchilada;Bar Enchilada Augsburg;10262;180783;53;2023-04-12;4;2026-08-03T22:55:59.155Z;2026-08-03T23:24:18.918Z;/api/10262/shop-order/180783/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;180994;54;2023-04-12;4;2026-08-03T22:56:09.322Z;2026-08-03T23:37:40.616Z;/api/10262/shop-order/180994/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;182356;55;2023-04-18;4;2026-08-03T22:55:41.542Z;2026-08-03T23:32:57.382Z;/api/10262/shop-order/182356/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;182643;56;2023-04-19;4;2026-08-03T22:55:31.505Z;2026-08-03T23:27:53.407Z;/api/10262/shop-order/182643/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;184101;57;2023-04-25;4;2026-08-03T22:55:00.376Z;2026-08-03T23:29:40.305Z;/api/10262/shop-order/184101/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;184374;60;2023-04-26;4;2026-08-03T22:54:50.045Z;2026-08-03T23:26:08.592Z;/api/10262/shop-order/184374/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;185442;61;2023-05-02;4;2026-08-03T22:54:29.638Z;2026-08-03T23:41:06.188Z;/api/10262/shop-order/185442/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;185923;63;2023-05-03;4;2026-08-03T22:54:23.309Z;2026-08-03T23:29:38.397Z;/api/10262/shop-order/185923/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;187426;64;2023-05-09;4;2026-08-03T22:54:04.485Z;2026-08-03T23:39:24.172Z;/api/10262/shop-order/187426/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;187532;65;2023-05-10;4;2026-08-03T22:53:54.195Z;2026-08-03T23:19:28.636Z;/api/10262/shop-order/187532/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;189032;68;2023-05-16;4;2026-08-03T22:53:05.174Z;2026-08-03T23:31:19.546Z;/api/10262/shop-order/189032/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;190448;69;2023-05-23;4;2026-08-03T22:52:48.792Z;2026-08-03T23:36:04.889Z;/api/10262/shop-order/190448/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;191884;72;2023-05-30;4;2026-08-03T22:52:07.832Z;2026-08-03T23:24:16.945Z;/api/10262/shop-order/191884/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;193299;75;2023-06-05;4;2026-08-03T22:51:45.035Z;2026-08-03T23:22:43.008Z;/api/10262/shop-order/193299/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;193614;77;2023-06-06;4;2026-08-03T22:51:33.426Z;2026-08-03T23:36:02.647Z;/api/10262/shop-order/193614/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;195000;78;2023-06-13;4;2026-08-03T22:51:06.700Z;2026-08-03T23:27:51.303Z;/api/10262/shop-order/195000/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;195275;80;2023-06-14;4;2026-08-03T22:50:56.452Z;2026-08-03T23:26:06.648Z;/api/10262/shop-order/195275/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;196726;82;2023-06-20;4;2026-08-03T22:50:29.381Z;2026-08-03T23:21:07.489Z;/api/10262/shop-order/196726/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;196996;85;2023-06-21;4;2026-08-03T22:50:20.827Z;2026-08-03T23:31:17.989Z;/api/10262/shop-order/196996/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;198482;86;2023-06-27;4;2026-08-03T22:49:36.074Z;2026-08-03T23:19:26.992Z;/api/10262/shop-order/198482/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;198622;88;2023-06-28;4;2026-08-03T22:49:22.659Z;2026-08-03T23:29:36.524Z;/api/10262/shop-order/198622/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;201019;91;2023-07-05;4;2026-08-03T22:48:52.915Z;2026-08-03T23:33:01.297Z;/api/10262/shop-order/201019/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;202702;94;2023-07-12;4;2026-08-03T22:48:11.735Z;2026-08-03T23:31:15.912Z;/api/10262/shop-order/202702/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;204054;97;2023-07-18;4;2026-08-03T22:47:42.325Z;2026-08-03T23:16:03.685Z;/api/10262/shop-order/204054/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;205549;99;2023-07-25;4;2026-08-03T22:47:10.362Z;2026-08-03T23:27:49.256Z;/api/10262/shop-order/205549/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;207666;104;2023-08-02;4;2026-08-03T22:46:17.522Z;2026-08-03T23:08:27.395Z;/api/10262/shop-order/207666/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;209061;105;2023-08-08;4;2026-08-03T22:45:50.490Z;2026-08-03T23:24:14.944Z;/api/10262/shop-order/209061/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;209062;106;2023-08-08;4;2026-08-03T22:45:53.165Z;2026-08-03T23:21:05.972Z;/api/10262/shop-order/209062/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;210457;107;2023-08-14;4;2026-08-03T22:45:33.195Z;2026-08-03T23:12:42.467Z;/api/10262/shop-order/210457/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;210796;108;2023-08-16;4;2026-08-03T22:45:23.929Z;2026-08-03T23:06:32.349Z;/api/10262/shop-order/210796/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;212348;109;2023-08-22;4;2026-08-03T22:44:55.545Z;2026-08-03T23:26:04.606Z;/api/10262/shop-order/212348/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;212629;110;2023-08-23;4;2026-08-03T22:44:43.432Z;2026-08-03T23:19:25.275Z;/api/10262/shop-order/212629/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;214087;111;2023-08-29;4;2026-08-03T22:44:15.920Z;2026-08-03T23:17:49.237Z;/api/10262/shop-order/214087/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;214339;112;2023-08-30;4;2026-08-03T22:44:07.791Z;2026-08-03T23:29:34.515Z;/api/10262/shop-order/214339/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;215936;114;2023-09-06;4;2026-08-03T22:43:30.204Z;2026-08-03T23:19:22.711Z;/api/10262/shop-order/215936/change?order_by=name
