konzept;bereich;gueltig_von;artikelnummer;bezeichnung;lieferant;rubrik;optional;nur_betriebe;quelle
Wilma Wunder;bar;2026-04-13;300047;"""Acai Berry"" Smoothie (Pomom)";Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;300070;"""Bali Bowl"" (Pomom)";Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;300049;"""Cinnamon Bowl"" (Pomom)";Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;300069;"""Pink Pitaya"" (Pomom)";Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;605;Angostura Bitter;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;9501;Aperol;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;90141;Apricot Brandy;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;964;Bailey's;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;955;Bacardi Rum;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;77751;Berliner Luft;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;200022;Blanc de rouge Villa Neus;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;400143;Blütenmix;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;987;Bombay Gin;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;78851;Captain Morgan Dark Rum;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;3915058;Chai und zuckerfrei;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;6750;Dörrorangenscheibe;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;6753;Dörrzitronenscheibe;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;27155;Dunkle Schokoladen Kuvertüre (Heiße Schokolade);Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;200217;Gin Sul;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;200208;Giffard Veilchen;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;200147;Giffard Grenadine;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;200209;Giffard Himbeerpüree;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;200149;Giffard Kokos;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;200162;Giffard Lavendel;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;200144;Giffard Mango;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;200137;Giffard Rohrzucker;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;200146;Giffard Rose;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;200141;Giffard Vanille;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;10953;Hausgemachter Eisteesirup;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;10957;Hausgemachter Grapefruit-Sirup;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;7302;Havana Club 3 Jahre;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;200120;Holunderblütensirup zuckerfrei;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;200183;Jägermeister Orange;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;779160;Kessler Sekt;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;200043;Kessler Rosé Sekt;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;5271;Lillet Blanc;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;7773;Mandarine Napoleone;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;500069;Matcha Pistazie YEAH;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;108804;Monin Birnenpüree;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;108806;Monin Coldbrew Konzentrat;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;200124;Monin Pure Rote Früchte Konzentrat;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;517;Monkey 47 Schwarzwald Dry Gin;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;200214;Müller-Oswald Scheurebe;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;200215;Müller-Oswald Cabernet Mitos;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;780017;Nymphenburg Sekt alkoholfrei;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;807;Prinz Alte Marille;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;808;Prinz Alte Wald-Himbeere;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;806;Prinz Alte Williamsbirne;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;779137;Rosé, Kitzer, trocken;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;500074;Rosmarin Cracker;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;200012;Sarti Rosa;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;779131;Sauvignon Blanc, Kitzer, trocken;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;200220;Schmittmann Edelkorn;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;779112;Secco Bianco Frizzante;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;9712;Smirnoff Red Label Vodka;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;7770;St. Germain;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;400441;Trinkhalm cremeweiß;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;500091;Ube Latte YEAH;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;779141;WW Lieblingswein, Kitzer, trocken;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;496;Zitronensaft (Ersatzprodukt: Frozen Lemon 490);Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;60038400;Ahoj Brausepulver 4-fach sortiert;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;60149869;Beerenmischung TK;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;15698261;Eigelb;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;13187903;Granatapfelsaft;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;60115766;Gimme Gelato Schokoladeneis;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;60115800;Gimme Gelato Vanille-Hafer vegan;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;60115794;Gimme Gelato Erdbeersorbet;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;18217568;Haferdrink Naarman;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;20076269;H-Milch 3,5% 10L (waren vorher nur 5l);Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;18459241;H-Milch 3,5% 1L;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;60083040;H-Milch 3,5% 1L laktosefrei;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;15955401;H-Sahne 30% (Sahnespender);Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;12121403;Hafertaler;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;12290833;Honigsticks;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;17165655;Isi-Sahnekapseln (Sahnespender: Alternative zur Sprühsahne);Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;17141659;Kakao Drink;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;15345615;Kardamomkapseln;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;15847294;Koriander ganz;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;17377485;Krümelkandis;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;16873131;Mandelmilch Barista;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;10188026;Oliven grün gefüllt;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;12040032;Orangia Sun Gewürzzubereitung;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;18668162;Orangensaft m. Fruchtfleisch;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;20020194;Puderzucker;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;15429872;Rosa Pfeffer ganz;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;60021753;Rote Bete Saft;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;10001783;Sprühsahne, 700ml (Alternative zum Sahnespender);Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;14038075;Ulmer Raspelschokolade;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;16327115;Bourbon Vanille gemahlen;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;20019044;Vanille Zucker;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;17012744;Wacholderbeeren ganz;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;20020163;Zucker weiß;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;14931338;Zuckerstreusel bunt;Chefs Culinar;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;Acai Pulver;Wilmas Zauberladen;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;Getrocknete Hibiskusblüten;Wilmas Zauberladen;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;"""Alle Mann an Bord"" Assamtee";Trink Meer Tee;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;"""Watt ist denn hier los"" Earl Grey";Trink Meer Tee;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;"""Anker lichten"" Grüntee";Trink Meer Tee;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;"""Rette mit, wer kann"" Kräutertee";Trink Meer Tee;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;"""Rückenwind"" Früchtetee";Trink Meer Tee;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;"""Flitzpiepe"" Rooibostee";Trink Meer Tee;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;80107;Glytter Pulver Gold;DekoBack;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;Granini Apfelsaft naturtrüb;GFGH;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;Granini Ananassaft;GFGH;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;Granini Cranberry;GFGH;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;Granini Johannisbeernektar;GFGH;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;Granini Maracujanektar;GFGH;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;Granini Pfirsichnektar;GFGH;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;Granini Rhabarber;GFGH;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;Granini Lemon Squash;GFGH;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;7 Up;GFGH;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;Pepsi Cola;GFGH;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;Pepsi Cola Zero;GFGH;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;Schwip Schwap Orange;GFGH;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;Schweppes Bitter Lemon;GFGH;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;Schweppes Dry Tonic Water;GFGH;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;Schweppes Ginger Ale;GFGH;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;Schweppes Ginger B.;GFGH;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;;Schweppes Wild Berry;GFGH;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;16060510;Ingwer;CF Gastro;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;12520515;Limetten;CF Gastro;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;13298142;Minze;CF Gastro;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;12342510;Orange;CF Gastro;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;13298328;Rosmarin;CF Gastro;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;12502510;Zitrone;CF Gastro;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;4035;1000-Sassa;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;400108;Backpapierzuschnitte 25*25cm;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;1040;Bacon in Scheiben;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;301732;Baguette de Paris;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;482;Basis Balsamico Dressing hell;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;500117;Bebivita Feines Gemüse;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;500118;Bebvita Maracuja-Apfel-Pfirsich;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;306033;Bechamel Sauce Lukull;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;300163;Brioche;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;400143;Blütenmix;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;301743;Buttercroissant;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;500080;Caesardressing;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;300156;Champignonrahmsauce;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;777821;Crema Tartuffo;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;482046;Crunchy Müsli Ahorn Mandel;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;4034;Dinkel-Süsskartoffel (Spiegel);Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;300129;Edamamesauce mit Kokosmilch;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;486;Enchilada Burgersauce;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;4825;Erdbeer-Tonka Fruchtaufstrich;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;4824;Feigenchutney;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;300151;Flammkuchenboden oval;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;500066;Frittieröl Una;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;2641;Frischkäse;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;482045;Gemüsechips mit Meersalz;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;300199;Gimme Gelato Vanille-Hafer;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;300167;Gimme Gelato Schokolade;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;300165;Gimme Gelato Erdbeersorbet;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;300203;Gimme Gelato Erdbeersauce;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;54017;Guacamole;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;500110;Hartkäse;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;300159;Huhn;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;300149;Kalbsschnitzel á 220 g;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;500055;Karotten-Ingwer Aufstrich;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;500085;Konjaknudeln;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;300154;Küstendressing (Sanddorn);Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;500115;Leerdammer Käse;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;500058;Marinierter Sesam;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;500105;Meerrettich frisch;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;301742;Mini-Baguette (Finedor);Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;500097;Olivenöl;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;2210015;Trüffelöl;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;500056;Pistaziencreme;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;500083;Pistazien gehackt;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;300090;Räucherlachs;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;300072;Rinderroulade 300g;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;4815;Rotkohl;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;500098;Schinkenspeckstreifen;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;306031;Schmand 5kg;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;300142;Schweineschnitzel 120g;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;300005;Scoop&Bake Cookie Dough TK;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;300103;Serviettenknödel (optional);Distra;;true;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;300092;Rote Beete Hummus TK;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;300074;Tortellini Salmone;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;300067;Veganes Schnitzel á 80g;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;300117;Veganes Beef;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;4262;Velouté;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;500002;Tomaten getrocknet;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;278;Ziegenkäserolle;Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;496;Zitronensaft (Ersatzprodukt: Frozen Lemon 490);Distra;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;10779231;Ahornsirup;Chefs Culinar;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;60149869;Beerenmischung TK;Chefs Culinar;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
Wilma Wunder;kueche;2026-04-13;60119733;Bergkäse in Scheiben;Chefs Culinar;;false;;WW_PAL_Küche_Sommer-Standardkarte_2026.pdf
